intervalid,location_id,street1,street2,street3,latitude,longitude,date,weekday,period_begin,period_end,interval_begin,ns,sn,ew,we,female,sidewalk,wrongway,count_method,count_bikesonsidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,city,createdatetime,total_count,no_helmet,child
18091.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,4:15 PM,1,2,0,0,0,3,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,3,3,0
18092.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,4:30 PM,1,1,0,0,1,1,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,2,2,0
18093.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,4:45 PM,1,1,0,0,0,1,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,2,2,1
18094.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,5:00 PM,1,2,0,0,0,3,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,3,3,0
18095.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,5:15 PM,0,0,0,0,0,0,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,0,0,0
18096.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,5:30 PM,1,2,0,0,0,3,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,3,3,1
18097.0,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,01-17-2017,Tuesday,4:00 PM,6:00 PM,5:45 PM,1,2,0,0,0,3,0.0,manual_in_house,1,no,none,none,none,principalArterial,35.0,neighborhoodRetail,133.0,SEM,2017-02-07 13:31:00,3,3,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,0,0,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,4:15 PM,0,5,0,0,1,2,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,5,5,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,4:30 PM,0,1,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,1,1,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,4:45 PM,0,1,0,0,0,1,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,1,1,1
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,5:00 PM,1,1,0,0,0,2,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,2,2,1
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,5:15 PM,2,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,2,2,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,5:30 PM,0,1,0,0,0,0,1.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,1,1,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,4:00 PM,6:00 PM,5:45 PM,0,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,0,0,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,7:00 AM,3,0,0,0,0,2,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,3,3,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,7:15 AM,1,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,1,0,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,7:30 AM,0,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,0,0,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,7:45 AM,1,1,0,0,0,1,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,2,2,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,8:00 AM,0,1,0,0,0,0,1.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,1,1,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,8:15 AM,2,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,2,2,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,0,0,0,0,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,0,0,0
,1030.0,Durfee Ave. ,Thienes Ave. ,Rush St.,34.04352539999999,-118.0324155,07-19-2018,Thursday,7:00 AM,9:00 AM,8:45 AM,0,3,0,0,0,2,0.0,,0,,none,,none,minorArterial,,residentialCommercial,,,,3,3,0
19675.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,11:00 AM,0,1,0,0,0,0,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,1,1,0
19676.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,11:15 AM,0,2,0,0,0,2,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,2,2,0
19677.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,11:30 AM,0,0,0,0,0,0,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,0,0,0
19678.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,11:45 AM,1,1,0,0,1,2,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,2,2,0
19679.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,12:00 PM,1,2,0,0,1,2,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,3,2,1
19680.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,12:15 PM,0,2,0,0,0,1,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,2,1,1
19681.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,12:30 PM,1,2,0,0,0,3,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,3,3,0
19682.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-01-2017,Saturday,11:00 AM,1:00 PM,12:45 PM,1,0,0,0,0,1,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:42:00,1,1,0
19659.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-18-2017,Tuesday,7:00 AM,9:00 AM,7:00 AM,1,2,0,0,0,1,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:29:00,3,3,0
19660.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-18-2017,Tuesday,7:00 AM,9:00 AM,7:15 AM,1,0,0,0,0,0,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:29:00,1,0,0
19661.0,1245.0,Rosemead,Las Tunas,Broadway,34.1023526,-118.0735767,04-18-2017,Tuesday,7:00 AM,9:00 AM,7:30 AM,0,0,0,0,0,0,0.0,manual_in_house,1,no,none,bikelane,bikelane_paintedbuffer;,minorCollector,30.0,neighborhoodRetail,138.0,Temple City,2017-08-07 12:29:00,0,0,0
